,feature,gain,weight
0,f0,1383.4927978515625,741.0
1,f1,117.05089569091797,311.0
2,f2,271.28759765625,240.0
3,f3,225.0574493408203,256.0
4,f4,203.71878051757812,275.0
5,f5,122.6739501953125,311.0
6,f6,148.5338897705078,152.0
7,f7,60.01211166381836,391.0
8,f8,138.76116943359375,171.0
9,f9,87.02992248535156,308.0
10,f10,477.5491027832031,172.0
11,f11,58.355186462402344,379.0
12,f12,48.51905822753906,342.0
13,f13,32.05125045776367,343.0
14,f14,520.2656860351562,40.0
15,f15,45.23041915893555,281.0
16,f16,23.172969818115234,387.0
17,f17,759.4005126953125,210.0
18,f18,73.36345672607422,186.0
19,f19,10.986103057861328,191.0
20,f20,101.7075424194336,217.0
21,f21,76.40077209472656,156.0
22,f22,59.611122131347656,180.0
23,f23,237.6258087158203,47.0
24,f24,485.85400390625,228.0
25,f25,78.58340454101562,120.0
26,f26,14.880173683166504,265.0
27,f27,43.962223052978516,256.0
28,f28,24.950590133666992,189.0
29,f29,15.987202644348145,213.0
30,f30,15.660990715026855,274.0
31,f31,151.05221557617188,221.0
32,f32,21.65509033203125,34.0
33,f33,39.85160446166992,98.0
34,f34,90.15545654296875,16.0
35,f35,35.11128234863281,190.0
36,f36,11.09260368347168,229.0
37,f37,48.165565490722656,128.0
38,f38,11.509203910827637,227.0
39,f39,42.76765060424805,145.0
40,f40,11.000175476074219,249.0
41,f41,36.83922576904297,43.0
42,f42,11.909573554992676,236.0
43,f43,18.843229293823242,178.0
44,f44,14.538925170898438,245.0
45,f45,19.264854431152344,189.0
46,f46,14.712217330932617,224.0
47,f47,22.80168914794922,223.0
48,f48,12.279182434082031,221.0
49,f49,16.18560028076172,151.0
50,f50,13.450699806213379,184.0
51,f51,17.27716636657715,56.0
52,f52,26.5346622467041,29.0
53,f53,23.43012809753418,73.0
54,f54,13.250714302062988,100.0
55,f55,16.116220474243164,170.0
56,f56,37.63605499267578,223.0
57,f57,15.894619941711426,137.0
58,f58,66.24677276611328,43.0
59,f59,23.506059646606445,107.0
60,f60,9.030269622802734,23.0
61,f61,10.955099105834961,269.0
62,f62,14.926851272583008,202.0
63,f63,11.506921768188477,87.0
64,f64,10.121110916137695,234.0
65,f65,9.679527282714844,212.0
66,f66,64.93341827392578,33.0
67,f67,16.025487899780273,60.0
68,f68,10.890202522277832,247.0
69,f69,18.85545539855957,54.0
70,f70,16.0098819732666,91.0
71,f71,65.75180053710938,170.0
72,f72,8.077006340026855,32.0
73,f73,10.041413307189941,58.0
74,f74,10.137941360473633,80.0
75,f75,48.0261116027832,92.0
76,f76,22.142520904541016,62.0
77,f77,9.994865417480469,246.0
78,f78,20.37519073486328,45.0
79,f79,18.95178985595703,126.0
80,f80,9.795031547546387,188.0
81,f81,15.963787078857422,170.0
82,f82,8.126057624816895,37.0
83,f83,22.426082611083984,40.0
84,f84,12.580109596252441,20.0
85,f85,9.048503875732422,50.0
86,f86,11.550540924072266,211.0
87,f87,8.965615272521973,22.0
88,f88,10.572965621948242,49.0
89,f89,19.992225646972656,63.0
90,f90,8.654223442077637,194.0
91,f91,11.947924613952637,17.0
92,f92,20.655485153198242,54.0
93,f93,8.630803108215332,188.0
94,f94,16.9974422454834,68.0
95,f95,9.960707664489746,224.0
96,f96,6.2002997398376465,6.0
97,f97,11.189764022827148,29.0
98,f98,9.039555549621582,10.0
99,f99,8.933862686157227,18.0
100,f100,9.465211868286133,26.0
101,f101,10.619236946105957,54.0
102,f102,19.024246215820312,81.0
103,f103,8.712700843811035,8.0
104,f104,5.348719596862793,1.0
105,f105,8.291718482971191,17.0
106,f106,11.976658821105957,3.0
107,f107,4.5560383796691895,3.0
108,f109,6.832231044769287,11.0
109,f110,12.73945140838623,3.0
110,f111,8.243670463562012,178.0
111,f112,15.454883575439453,4.0
112,f113,10.212712287902832,15.0
113,f114,9.796708106994629,2.0
114,f115,11.291089057922363,33.0
115,f116,12.889966011047363,3.0
116,f117,15.755248069763184,2.0
117,f118,10.704671859741211,4.0
118,f119,7.24359655380249,2.0
119,f121,19.711530685424805,40.0
120,f122,10.358444213867188,4.0
121,f123,8.280043601989746,8.0
122,f124,6.890016555786133,3.0
123,f125,16.295019149780273,6.0
124,f126,5.393435478210449,1.0
125,f127,9.399547576904297,20.0
126,f128,10.64434814453125,165.0
127,f129,64.35498046875,229.0
128,f130,22.611160278320312,194.0
129,f131,10.296829223632812,222.0
130,f132,16.095930099487305,240.0
131,f133,9.400671005249023,237.0
132,f134,9.018255233764648,4.0
133,f135,8.736605644226074,120.0
134,f136,11.057299613952637,118.0
135,f137,43.421661376953125,56.0
136,f138,10.262640953063965,24.0
137,f139,9.764996528625488,203.0
138,f140,239.9158477783203,151.0
139,f141,23.49462127685547,53.0
140,f142,50.36250305175781,168.0
141,f143,27.873294830322266,75.0
142,f144,10.977200508117676,16.0
143,f146,22.983848571777344,41.0
144,f147,8.264640808105469,2.0
145,f148,25.667503356933594,55.0
146,f149,68.4349594116211,174.0
147,f150,11.26846694946289,211.0
148,f151,10.456681251525879,153.0
149,f152,9.040082931518555,32.0
150,f153,15.739019393920898,28.0
151,f154,10.204252243041992,182.0
152,f155,6.387471675872803,3.0
153,f156,17.331228256225586,84.0
154,f157,13.361374855041504,173.0
155,f158,14.488560676574707,160.0
156,f159,21.869674682617188,38.0
157,f160,14.363834381103516,345.0
158,f161,15.551253318786621,66.0
159,f162,9.655537605285645,1.0
160,f163,13.641773223876953,125.0
161,f164,10.035235404968262,8.0
162,f165,9.299897193908691,13.0
163,f166,11.901335716247559,11.0
164,f167,14.402780532836914,137.0
165,f168,28.39787483215332,14.0
166,f169,9.117111206054688,26.0
167,f170,8.977181434631348,32.0
168,f171,9.958133697509766,103.0
169,f172,22.688343048095703,56.0
170,f173,20.552244186401367,47.0
171,f174,11.967220306396484,200.0
172,f175,5.418213844299316,2.0
173,f176,11.684015274047852,41.0
174,f177,16.936355590820312,8.0
175,f178,10.906054496765137,12.0
176,f179,17.128150939941406,1.0
177,f180,14.282007217407227,20.0
178,f181,16.600419998168945,6.0
179,f182,15.016251564025879,37.0
180,f183,13.37713623046875,78.0
181,f184,13.334300994873047,88.0
182,f185,14.259575843811035,3.0
183,f186,10.048141479492188,208.0
184,f187,9.486475944519043,31.0
185,f108,0.0,0.0
186,f120,0.0,0.0
187,f145,0.0,0.0
